name,avg,x,y
安定门,133.1323178684773,116.413987,39.960746
牛街,118.38509438460964,116.370011,39.891464
天宁寺,107.19332349000354,116.352394,39.903579
阜成门,141.87098825491722,116.359858,39.929941
六铺炕,137.60995430794148,116.39912,39.957983
金融街,175.01901757624867,116.368187,39.921492
地安门,166.90607136093098,116.40274,39.938072
车公庄,151.69223301559907,116.34081,39.939085
德胜门,143.6479336773628,116.385938,39.95559
木樨地,137.13674117513693,116.344341,39.91098
官园,141.1260751398308,116.36879,39.93825
安贞,126.12436668533967,116.411674,39.977229
月坛,157.85357923844077,116.358874,39.922132
北苑,97.28372882999597,116.435401,40.042667
西单,165.35400137359423,116.379299,39.916967
长椿街,133.42190675583748,116.370009,39.897321
紫竹桥,119.1206681191801,116.316603,39.948194
白纸坊,107.35579414499396,116.365787,39.885334
颐和园,112.95581569448855,116.291425,40.004556
知春路,133.21028033359335,116.337232,39.982207
西二旗,97.99316036608671,116.318353,40.059241
西山,107.55585542221205,116.220423,39.952188
西北旺,106.00915879216207,116.274357,40.049709
万柳,147.62434503441455,116.30297,39.977844
魏公村,145.77309235587958,116.324478,39.962674
五道口,142.60409989416112,116.34169,39.99845
小西天,130.59840227343852,116.377659,39.958728
学院路,115.3619605466927,116.359704,39.995246
万寿路,111.05217436507056,116.301384,39.913711
西直门,135.34722270374698,116.35525,39.951394
皂君庙,142.5074447722217,116.347633,39.963566
新街口,142.3222081452222,116.379276,39.955401
圆明园,141.56597991600808,116.315938,40.005466
中关村,144.59467730023414,116.328349,39.973656
双榆树,143.4690994162122,116.330205,39.977561
世纪城,126.96633515746653,116.287549,39.960303
苏州桥,139.1647539007839,116.314274,39.968315
四季青,126.10332201539522,116.281062,39.953052
清河,101.27854288487919,116.341191,40.04126
上地,108.91474651548398,116.30782,40.045507
牡丹园,133.451091535576,116.378159,39.984225
海淀北部新区,82.20902391637273,116.157399,40.105776
马甸,133.67089650926792,116.390343,39.974479
厂洼,126.16882445586674,116.310854,39.965335
甘家口,132.8605999576166,116.336072,39.931093
定慧寺,115.95044686876302,116.29297,39.930513
二里庄,123.65697087189808,116.371424,40.005466
北太平庄,133.0235863234575,116.372929,39.973651
公主坟,122.22001070963653,116.313737,39.915399
海淀其它,66.69684277885295,116.301386,39.995192
军博,122.9820851224468,116.328688,39.91595
马连洼,106.78165850480909,116.287965,40.035018
田村,106.9171135716917,116.25936,39.935623
赵公口,80.43207103026886,116.416455,39.861416
安宁庄,96.679179587357,116.336871,40.050222
永定门,96.26433177713892,116.405989,39.872783
玉泉营,79.0714480324274,116.349087,39.852567
岳各庄,85.89906193178378,116.281271,39.890413
太平桥,102.05576476989003,116.369771,39.916378
十里河,89.28264966686072,116.465458,39.866797
宋家庄,91.46993097026817,116.436767,39.854474
陶然亭,127.30948617211256,116.380902,39.884625
马连道,102.02402457213381,116.332338,39.889562
青塔,74.62778619808252,116.280345,39.900319
七里庄,79.71488647404975,116.298398,39.872263
蒲黄榆,94.13701986594899,116.426124,39.870701
五棵松,104.90192766620511,116.281792,39.914663
西罗园,87.29574344563157,116.398392,39.866231
五里店,61.69447143919212,116.266666,39.869582
右安门外,106.58116623141514,116.37119,39.868032
洋桥,86.19567639059399,116.393845,39.86257
白石桥,132.90289636784038,116.331685,39.938564
木樨园,81.71923404880056,116.410194,39.860426
马家堡,95.82940545173246,116.389978,39.854562
角门,87.16052227239761,116.377645,39.851929
丽泽,90.59620081885504,116.34565,39.872714
花乡,74.1494306287253,116.331261,39.833241
大红门,81.24316434491136,116.407007,39.838745
草桥,84.7672390082202,116.361712,39.848229
北大地,80.3027050809443,116.289429,39.862952
成寿寺,84.31987050851527,116.443456,39.858751
杨庄,82.35505307323098,116.631091,39.900729
石景山其它,72.48909016603605,116.215518,39.917811
苹果园,74.44239951173829,116.201542,39.936133
